tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,tech_support,support_tickets_90d,satisfaction_score,churn
25,106.51,2597.64,Month-to-month,Fiber optic,Credit card,Yes,0,4,0
34,76.35,2540.08,Month-to-month,Fiber optic,Credit card,Yes,3,4,1
22,76.89,1683.37,Month-to-month,No,Credit card,Yes,1,4,0
20,101.22,1976.26,Two year,Fiber optic,Electronic check,Yes,3,4,0
37,68.58,2417.37,Two year,No,Credit card,Yes,2,4,0
21,96.34,2091.2,Month-to-month,Fiber optic,Electronic check,Yes,1,2,1
28,93.8,2742.07,Month-to-month,Fiber optic,Mailed check,No,3,3,0
26,91.78,2364.27,One year,Fiber optic,Bank transfer,No,2,4,1
37,75.93,2872.64,One year,DSL,Mailed check,No,5,2,0
17,97.04,1566.49,One year,Fiber optic,Electronic check,Yes,5,3,1
46,45.52,2115.24,Month-to-month,No,Mailed check,No,4,2,0
14,64.94,872.82,Month-to-month,DSL,Electronic check,Yes,0,3,0
29,100.35,2742.48,Month-to-month,Fiber optic,Bank transfer,Yes,6,3,1
27,77.28,2051.82,Two year,DSL,Electronic check,Yes,0,5,0
13,80.26,964.04,One year,Fiber optic,Mailed check,Yes,2,3,0
31,71.14,2112.58,Two year,DSL,Bank transfer,Yes,0,5,0
18,63.61,1086.79,Month-to-month,DSL,Credit card,No,0,3,0
10,39.5,388.89,Month-to-month,No,Mailed check,No,3,2,0
34,62.72,2099.44,Month-to-month,DSL,Mailed check,Yes,1,3,0
7,96.44,680.86,Two year,Fiber optic,Credit card,No,1,3,0
11,85.58,880.92,Month-to-month,Fiber optic,Credit card,Yes,3,3,0
22,70.71,1520.4,One year,Fiber optic,Bank transfer,Yes,2,3,0
37,84.22,2885.13,Month-to-month,DSL,Mailed check,Yes,1,3,0
32,96.51,3162.82,Month-to-month,Fiber optic,Electronic check,Yes,0,2,1
25,110.78,2869.44,Month-to-month,Fiber optic,Bank transfer,Yes,1,3,1
5,76.19,399.55,Month-to-month,No,Credit card,Yes,1,3,0
