customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,tech_support,support_tickets_90d,satisfaction_score,churn
CUST100000,25,106.51,2597.64,Month-to-month,Fiber optic,Credit card,Yes,0,4,0
CUST100001,34,76.35,2540.08,Month-to-month,Fiber optic,Credit card,Yes,3,4,1
CUST100002,22,76.89,1683.37,Month-to-month,No,Credit card,Yes,1,4,0
CUST100003,20,101.22,1976.26,Two year,Fiber optic,Electronic check,Yes,3,4,0
CUST100004,37,68.58,2417.37,Two year,No,Credit card,Yes,2,4,0
CUST100005,21,96.34,2091.2,Month-to-month,Fiber optic,Electronic check,Yes,1,2,1
CUST100006,28,93.8,2742.07,Month-to-month,Fiber optic,Mailed check,No,3,3,0
CUST100007,26,91.78,2364.27,One year,Fiber optic,Bank transfer,No,2,4,1
CUST100008,37,75.93,2872.64,One year,DSL,Mailed check,No,5,2,0
CUST100009,17,97.04,1566.49,One year,Fiber optic,Electronic check,Yes,5,3,1
CUST100010,46,45.52,2115.24,Month-to-month,No,Mailed check,No,4,2,0
CUST100011,14,64.94,872.82,Month-to-month,DSL,Electronic check,Yes,0,3,0
CUST100012,29,100.35,2742.48,Month-to-month,Fiber optic,Bank transfer,Yes,6,3,1
CUST100013,27,77.28,2051.82,Two year,DSL,Electronic check,Yes,0,5,0
CUST100014,13,80.26,964.04,One year,Fiber optic,Mailed check,Yes,2,3,0
CUST100015,31,71.14,2112.58,Two year,DSL,Bank transfer,Yes,0,5,0
CUST100016,18,63.61,1086.79,Month-to-month,DSL,Credit card,No,0,3,0
CUST100017,10,39.5,388.89,Month-to-month,No,Mailed check,No,3,2,0
CUST100018,34,62.72,2099.44,Month-to-month,DSL,Mailed check,Yes,1,3,0
CUST100019,7,96.44,680.86,Two year,Fiber optic,Credit card,No,1,3,0
CUST100020,11,85.58,880.92,Month-to-month,Fiber optic,Credit card,Yes,3,3,0
CUST100021,22,70.71,1520.4,One year,Fiber optic,Bank transfer,Yes,2,3,0
CUST100022,37,84.22,2885.13,Month-to-month,DSL,Mailed check,Yes,1,3,0
CUST100023,32,96.51,3162.82,Month-to-month,Fiber optic,Electronic check,Yes,0,2,1
CUST100024,25,110.78,2869.44,Month-to-month,Fiber optic,Bank transfer,Yes,1,3,1
CUST100025,5,76.19,399.55,Month-to-month,No,Credit card,Yes,1,3,0
CUST100026,14,83.9,1159.92,Two year,No,Credit card,Yes,0,5,0
CUST100027,16,98.38,1621.9,Two year,Fiber optic,Electronic check,No,1,3,0
CUST100028,9,77.91,686.97,One year,No,Electronic check,No,1,4,1
CUST100029,4,80.52,304.8,Month-to-month,DSL,Credit card,No,0,3,0
CUST100030,23,106.76,2526.86,One year,Fiber optic,Credit card,Yes,3,3,0
CUST100031,33,72.15,2204.85,Month-to-month,No,Bank transfer,Yes,2,1,0
CUST100032,15,43.66,653.07,Two year,No,Electronic check,No,2,3,0
CUST100033,36,68.47,2567.64,One year,DSL,Bank transfer,No,1,4,0
CUST100034,6,70.15,402.08,Month-to-month,DSL,Mailed check,Yes,2,2,1
CUST100035,9,77.77,666.88,Month-to-month,Fiber optic,Mailed check,No,3,3,0
CUST100036,22,63.01,1294.17,Month-to-month,DSL,Electronic check,No,0,4,0
CUST100037,14,70.08,966.76,Month-to-month,DSL,Electronic check,Yes,1,3,1
CUST100038,31,55.43,1723.25,Two year,DSL,Mailed check,No,1,4,0
CUST100039,28,100.91,2786.96,One year,Fiber optic,Electronic check,Yes,0,3,0
CUST100040,15,53.0,766.42,Month-to-month,DSL,Mailed check,No,0,5,0
CUST100041,7,60.57,413.75,Month-to-month,No,Electronic check,Yes,2,2,0
CUST100042,14,52.46,755.34,One year,No,Mailed check,No,4,3,0
CUST100043,28,93.42,2727.51,Month-to-month,Fiber optic,Credit card,Yes,0,2,0
CUST100044,32,91.45,2816.08,Month-to-month,Fiber optic,Bank transfer,No,3,4,0
CUST100045,14,83.01,1165.35,One year,Fiber optic,Electronic check,Yes,1,3,1
CUST100046,4,77.55,318.63,Month-to-month,DSL,Bank transfer,Yes,0,4,0
CUST100047,6,83.15,500.1,Month-to-month,Fiber optic,Electronic check,No,6,1,1
CUST100048,27,45.46,1271.16,Month-to-month,No,Mailed check,Yes,1,3,0
CUST100049,15,60.33,910.7,Month-to-month,DSL,Electronic check,No,2,4,1
CUST100050,15,84.47,1206.37,Two year,Fiber optic,Credit card,No,4,3,0
CUST100051,9,63.78,573.13,Two year,DSL,Electronic check,No,2,2,0
CUST100052,9,98.02,875.65,Two year,Fiber optic,Credit card,No,4,4,0
CUST100053,36,91.72,3183.09,Two year,Fiber optic,Bank transfer,Yes,1,4,0
CUST100054,28,76.08,1982.38,Month-to-month,Fiber optic,Mailed check,No,4,3,1
CUST100055,12,57.66,711.45,Month-to-month,DSL,Credit card,No,1,2,0
CUST100056,21,55.69,1196.38,One year,No,Mailed check,No,0,3,0
CUST100057,24,95.94,2126.81,Month-to-month,Fiber optic,Bank transfer,Yes,2,3,0
CUST100058,56,53.46,3036.49,Two year,DSL,Credit card,No,2,3,0
CUST100059,8,101.75,818.25,Month-to-month,Fiber optic,Electronic check,Yes,2,5,1
CUST100060,24,104.44,2424.59,Month-to-month,Fiber optic,Electronic check,No,1,4,1
CUST100061,36,65.71,2419.31,One year,DSL,Credit card,No,3,3,0
CUST100062,52,56.29,3008.48,Two year,No,Electronic check,Yes,1,4,0
CUST100063,12,56.59,700.73,One year,No,Credit card,Yes,1,3,0
CUST100064,15,66.8,931.93,One year,DSL,Electronic check,Yes,0,3,0
CUST100065,32,58.0,1798.5,Month-to-month,DSL,Mailed check,No,0,4,0
CUST100066,5,89.27,412.41,One year,Fiber optic,Mailed check,No,2,3,0
CUST100067,25,69.88,1773.14,One year,Fiber optic,Mailed check,Yes,1,3,0
CUST100068,70,52.25,3565.43,Month-to-month,No,Credit card,No,3,1,0
CUST100069,27,77.69,2134.08,One year,DSL,Electronic check,No,1,3,0
CUST100070,2,112.11,229.43,Month-to-month,Fiber optic,Bank transfer,Yes,2,5,0
CUST100071,10,105.21,976.95,Month-to-month,Fiber optic,Electronic check,Yes,5,3,1
CUST100072,12,81.64,1021.48,Two year,Fiber optic,Electronic check,Yes,1,3,1
CUST100073,41,95.32,3847.86,Month-to-month,DSL,Electronic check,Yes,5,3,1
CUST100074,18,86.16,1621.8,One year,Fiber optic,Bank transfer,No,3,2,1
CUST100075,4,77.17,289.45,Month-to-month,No,Bank transfer,No,0,5,1
CUST100076,19,75.44,1384.11,Two year,DSL,Electronic check,No,0,4,0
CUST100077,22,67.47,1454.13,Month-to-month,No,Credit card,Yes,1,4,0
CUST100078,13,80.72,1093.71,Month-to-month,Fiber optic,Mailed check,No,1,3,1
CUST100079,8,115.15,860.07,Two year,Fiber optic,Credit card,Yes,3,4,0
CUST100080,72,74.11,5289.41,One year,Fiber optic,Electronic check,No,5,3,0
CUST100081,36,82.37,2779.22,Month-to-month,Fiber optic,Bank transfer,No,0,4,0
CUST100082,38,45.66,1646.72,Month-to-month,No,Electronic check,No,3,3,0
CUST100083,18,56.41,1014.29,Month-to-month,No,Mailed check,No,1,3,0
CUST100084,11,95.99,1009.88,Two year,Fiber optic,Credit card,Yes,3,2,1
CUST100085,14,61.69,826.76,One year,DSL,Bank transfer,No,0,3,0
CUST100086,6,58.73,354.89,Two year,DSL,Mailed check,No,1,3,0
CUST100087,56,55.85,3206.32,Two year,DSL,Bank transfer,Yes,1,3,0
CUST100088,18,85.73,1426.46,Month-to-month,Fiber optic,Mailed check,No,0,2,1
CUST100089,48,91.23,4156.62,One year,Fiber optic,Electronic check,Yes,3,3,0
CUST100090,14,78.18,1081.87,One year,Fiber optic,Bank transfer,No,2,2,1
